
John Essick, Reed College
Kim Farah, Lasell College
Cassandra Fesen, Dartmouth College
Leonard Finegold, Drexel University
Alex Filippenko, University of California Berkeley
Richard Firestone, Lawrence Berkeley Lab
Allen Flora, Hood College
Mike Fortner, Northern Illinois University
Tom Furtak, Colorado School of Mines
Edward Gibson, California State University Sacramento
John Hardy, Texas A&M
Thomas Hemmick, State University of New York Stonybrook 
J. Erik Hendrickson, University of Wisconsin Eau Claire
Laurent Hodges, Iowa State University
David Hogg, New York University
Mark Hollabaugh, Normandale Community College
Andy Hollerman, University of Louisiana at Lafayette
Russell Holmes, University of Minnesota Twin Cities
William Holzapfel, University of California Berkeley
Chenming Hu, University of California Berkeley 
Bob Jacobsen, University of California Berkeley
Arthur W. John, Northeastern University
Teruki Kamon, Texas A&M
Daryao Khatri, University of the District of Columbia
T
